Token;Label_AB;Label_AA;Label_CF;Label_LM;Label_MB;Label_CKP;Label_DN;périmètre;accord;désaccord_PER;désaccord_LOC;désaccord_ORG;désaccord_MISC;confusion
hl6;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
so;;;;;;;;;;;;;;
nourrir;;;;;;;;;;;;;;
pondant;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
trois;;;;;;;;;;;;;;
ans;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
ais;;;;;;;;;;;;;;
si;;;;;;;;;;;;;;
lanne;;PER;;;PER;;;X;;X;;;;X
atait;;;;;;;;;;;;;;
mauvaise;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
la;PER;PER;PER;;PER;PER;PER;X;PER;;;;;X
mbre;PER;PER;PER;;PER;PER;PER;X;PER;;;;;X
"
";;;PER;;;PER;PER;X;;X;;;;X
Nannetts;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
venduit;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
pibce;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
toile;;;;;;;;;;;;;;
quelle;;;;;;;;;;;;;;
avait;;;;;;;;;;;;;;
fait;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
faire;;;;;;;;;;;;;;
aveoe;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
ohanvre;;;;;;;;;;;;;;
amass;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
fll6;;;;;;;;;;;;;;
pandant;;;;;;;;;;;;;;
quuatra;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
uns;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Largent;;;;;;;;;;;;;;
quella;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
retirait;;;;;;;;;;;;;;
lui;;;;;;;;;;;;;;
servait;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
com-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
plter;;;;;;;;;;;;;;
sa;;;;;;;;;;;;;;
provision;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
bl6;;;;LOC;;;;X;;;X;;;X
";";;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
mlgr6;;;;;;;;;;;;;;
tout;;;;;;;;;;;;;;
cela;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
ptiassit;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
peu;;;;;;;;;;;;;;
l';;;;;;;;;;;;;;
hiver;MISC;;;;;;;X;;;;;X;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Pour;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
In;LOC;;;MISC;;;;X;;;X;;X;X
terre;LOC;;;MISC;;;;X;;;X;;X;X
rapporte;;;;;;;;;;;;;;
chaque;;;;;;;;;;;;;;
annee;;;;;;;;;;;;;;
sans;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
reposer;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
faut;;;;;;;;;;;;;;
baaucoup;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
fumier;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
la;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
mre;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
"
";;;PER;;;PER;PER;X;;X;;;;X
Nannette;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
0;;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
savait;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
avait;;;;;;;;;;;;;;
une;;;;;;;;;;;;;;
vache;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
une;;;;;;;;;;;;;;
ohbvre;;;;;;;;;;;;;;
quelle;;;;;;;;;;;;;;
menait;;;;;;;;;;;;;;
paltre;;;;;;;;;;;;;;
sur;;;;;;;;;;;;;;
les;LOC;;;;;;;X;;;X;;;X
commu-;LOC;;;;;;LOC;X;;;X;;;X
"
";LOC;;;;;;LOC;X;;;X;;;X
naux;;;;;;;LOC;X;;;X;;;X
et;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
long;;;;;;;;;;;;;;
des;;;;;;;;;;;;;;
haies;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Avee;;;;;;;;;;;;;;
leur;;;;;;;;;;;;;;
lait;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
faisait;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
beurre;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
des;;;;;;;;;;;;;;
fromages;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
quelle;;;;;;;;;;;;;;
vendait;;;;;;;;;;;;;;
h;;;;;;;;;;;;;;
la;;;;;;;LOC;X;;;X;;;X
"
";;;;;;;LOC;X;;;X;;;X
ville;;;;LOC;;;LOC;X;;;X;;;X
voisine;;;;LOC;;;;X;;;X;;;X
.;;;;;;;;;;;;;;
Quand;;;;;;;;;;;;;;
ses;;;;;;;;;;;;;;
b8tes;;;;;;;;;;;;;;
etaient;;;;;;;;;;;;;;
rentres;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
l6table;;;;;;;LOC;X;;;X;;;X
0;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
allait;;;;;;;;;;;;;;
chereher;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
elles;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
lherhe;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
dans;;;;;;;;;;;;;;
les;LOC;;;;;LOC;LOC;X;;;X;;;X
ehamps;LOC;;;;;LOC;LOC;X;;;X;;;X
et;;;;;;;;;;;;;;
au;;;;;;LOC;;X;;;X;;;X
bord;;;;;;LOC;;X;;;X;;;X
des;LOC;;;;;LOC;;X;;;X;;;X
ruisseaux;LOC;;;;;LOC;LOC;X;;;X;;;X
.;;;;;;;;;;;;;;
Commae;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
tenait;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
proprement;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
elles;;;;;;;;;;;;;;
etaient;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
bon;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
6tat;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Lhiver;MISC;;;;;;;X;;;;;X;X
0;;;;;;;;;;;;;;
elles;;;;;;;;;;;;;;
mangeaient;;;;;;;;;;;;;;
ou;;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
trfle;;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
avait;;;;;;;;;;;;;;
6te;;;;;;;;;;;;;;
rentr6;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
seo;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
ou;;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
regain;;;;;;;;;;;;;;
recolt6;;;;;;;;;;;;;;
aprs;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
li;;;;;;;;;;;;;;
fuche;;;;;;;;;;;;;;
des;;;;;;;;;;;;;;
grands;;;;;;;;;;;;;;
foins;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
lLa;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
mbre;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
Nannette;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
vendait;;;;;;;;;;;;;;
son;;;;;;;;;;;;;;
vin;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
buvait;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
sa;;;;;;;;;;;;;;
boisson;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
mais;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
comme;;;;;;;;;;;;;;
l';;;;;;;;;;;;;;
argent;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
ella;;;;;;;;;;;;;;
ti-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
rait;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
son;;;;;;;;;;;;;;
vin;;;;;;;;;;;;;;
suffisait;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
juste;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
aveo;;;;;;;;;;;;;;
oelui;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
son;;;;;;;;;;;;;;
beurre;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
ses;;;;;;;;;;;;;;
fremages;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
payer;;;;;;;;;;;;;;
l';;;;;;;;;;;;;;
imp6;;;;;;;;;;;;;;
t;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
fagons;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
son;LOC;;;;;;;X;;;X;;;X
ehamp;LOC;;;;;;LOC;X;;;X;;;X
et;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
savigne;;;;;;;LOC;X;;;X;;;X
0;;;;;;;;;;;;;;
at;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
lui;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
fllait;;;;;;;;;;;;;;
oneore;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
procurer;;;;;;;;;;;;;;
quelque;;;;;;;;;;;;;;
argent;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
son;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
entretien;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
levait;;;;;;;;;;;;;;
des;;;;;;;;;;;;;;
oisons;;;;;;;;;;;;;;
quelle;;;;;;;;;;;;;;
achetait;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
1;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Hau;;;;;;;;;;;;;;
passee;;;;;;;;;;;;;;
sur;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
rpe;;;;;;;;;;;;;;
ou;;;;;;;;;;;;;;
lo;;;;;;;;;;;;;;
maro;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
vandlange.-RNANOE;;;;;;;;;;;;;;
DE;;;;;;PER;;X;;X;;;;X
JRANNI;PER;PER;;PER;PER;PER;;X;PER;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
au;;;;;;;;;;;;;;
sortir;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
Ia;;;;;;;;;;;;;;
eoquo;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Elle;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
donnait;;;;;;;;;;;;;;
heaueoup;;;;;;;;;;;;;;
da;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
mal;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
uppter;;;;;;;;;;;;;;
ces;;;;;;;;;;;;;;
petites;;;;;;;;;;;;;;
htas;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
garantir;;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
froid;;;;;;;;;;;;;;
pondant;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
nuit;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Ses;;;;;;;;;;;;;;
voisines;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
plumaient;;;;;;;;;;;;;;
leurs;;;;;;;;;;;;;;
oioes;;;;;;;;;;;;;;
quatre;;;;;;;;;;;;;;
fois;;;;;;;;;;;;;;
avant;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
ven-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
LL;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
l;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
II;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
II;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
I;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
I;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
IIF;;;;;;;;;;;;;;
"

";;;;;;;;;;;;;;
M;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
ii;;;;;;;;;;;;;;
"

";;;;;;;;;;;;;;
I;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
I;;;;;;;;;;;;;;
"

";;;;;;;;;;;;;;
II;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
E;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
E;;;;;;;;;;;;;;
"

";;;;;;;;;;;;;;
g;;;;;;;;;;;;;;
"

";;;;;;;;;;;;;;
Chamnnlhrs;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
ta;PER;;;;;PER;;X;;X;;;;X
mn;PER;;;;;PER;;X;;X;;;;X
Mamnnetta;PER;;PER;;;PER;;X;;X;;;;X
"
";;;;;;;;;;;;;;
dre;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
mais;;;;;;;;;;;;;;
la;PER;PER;PER;;PER;PER;PER;X;PER;;;;;X
mere;PER;PER;PER;;PER;PER;PER;X;PER;;;;;X
Nannette;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
disait;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
eetait;;;;;;;;;;;;;;
une;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
mauvaise;;;;;;;;;;;;;;
m6thode;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
paree;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
ainsi;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
plume;;;;;;;;;;;;;;
n';;;;;;;;;;;;;;
a-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
vait;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
temps;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
nourrir;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
plumait;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
siennes;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
trois;;;;;;;;;;;;;;
fois;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
puis;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
vendait;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
moitie;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
Toussaint;MISC;MISC;MISC;MISC;;MISC;MISC;X;MISC;;;;;X
et;;;;;;;;;;;;;;
l';;;;;;;;;;;;;;
antre;;;;;;;;;;;;;;
moiti6;;;;;;;;;;;;;;
a;;;;;;MISC;;X;;;;;X;X
Noel.rREMII;MISC;MISC;MISC;MISC;MISC;MISC;MISC;X;MISC;;;;;
PMRTIR;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Tout;;;;;;;;;;;;;;
cela;;;;;;;;;;;;;;
na;;;;;;;;;;;;;;
lui;;;;;;;;;;;;;;
ruapportuait;;;;;;;;;;;;;;
pus;;;;;;;;;;;;;;
une;;;;;;;;;;;;;;
grasse;;;;;;;;;;;;;;
aomma;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
mais;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
6tait;;;;;;;;;;;;;;
si;;;;;;;;;;;;;;
m6nagbre;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
lui;;;;;;;;;;;;;;
restait;;;;;;;;;;;;;;
touours;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
peu;;;;;;;;;;;;;;
dargent;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
fin;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
lann6e;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Pourtnt;;;;;;;;;;;;;;
ella;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
so;;;;;;;;;;;;;;
nourrissait;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
trop;;;;;;;;;;;;;;
mal;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
diaant;;;;;;;;;;;;;;
quella;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
aimait;;;;;;;;;;;;;;
mieux;;;;;;;;;;;;;;
donner;;;;;;;;;;;;;;
au;;;;;;;;;;;;;;
bouher;;;;;;;;;;;;;;
uno;;;;;;;;;;;;;;
pibdeoe;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
oinquanta;;;;;;;;;;;;;;
entimes;;;;;;MISC;;X;;;;;X;X
toutaes;;;;;;;;;;;;;;
las;;;;;;;;;;;;;;
semaines;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
vingt-;MISC;;;;;;;X;;;;;X;X
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
ein;MISC;;;;;;;X;;;;;X;X
franes;MISC;;;;;MISC;;X;;;;;X;X
par;;;;;;;;;;;;;;
an;;;;;;;;;;;;;;
au;PER;;;;;;;X;;X;;;;X
